SERIAL,CPU,MEMORY,DISK
1,3607.064373,3758.420308,43.911143
2,1764.997087,1570.698553,16.057696
3,2187.171143,1180.133626,11.614715
4,3701.215093,3199.100278,22.551732
5,2212.760996,1666.976986,19.149866
6,3315.976644,1662.689763,16.779181
7,2540.93386,1999.208693,26.47939
8,5316.679314,5733.46553,51.759676
9,4333.339988,3033.455539,27.755879
10,3024.128059,2637.977386,42.888728
11,5667.196401,4067.945769,72.564158
12,3702.043462,2587.771571,26.468517
13,2894.850752,2102.443362,21.755411
14,7556.746079,5272.982808,73.015072
15,6651.790911,7018.561479,78.341803
16,4371.006788,5231.656077,62.011134
17,2825.521336,1926.894484,42.668776
18,6662.946903,7116.788603,81.006971
19,3980.884447,3415.770311,35.665498
20,7862.334027,4863.802076,55.846062
21,8168.720915,6493.357403,73.885276
22,5424.257912,2810.15792,36.359885
23,7764.042429,4487.977976,50.984657
24,8111.430404,6013.607026,89.510899
25,7028.779359,6083.945103,117.135776
26,11125.97864,10497.47482,185.734499
27,22589.26856,20411.79984,445.929028
28,13328.04963,13918.54171,336.220172
29,10472.30948,11588.93687,281.90389
30,17880.93591,18020.90818,425.4447
31,14505.43208,16415.01168,395.32548
32,993.21326,1041.700126,24.174353
33,11922.23429,6771.25729,126.015515
34,13265.76565,9869.61851,148.711443
35,17817.16955,13392.50646,176.192053
36,14302.14478,10612.84089,145.411419
37,15325.98041,10883.41623,152.40886
38,16097.2194,10294.73213,120.320188
39,10294.39165,7810.785636,110.348041
40,8107.841705,5565.419102,68.341354
41,9448.146286,7976.479156,110.395816
42,6570.919281,4118.314558,70.72261
43,12864.10963,8747.373076,110.853889
44,9484.133098,9265.457782,118.229164
45,8242.706898,5971.050218,81.133681
46,5772.824682,3306.659524,51.551369
47,8640.714038,6122.021322,68.23412
48,24490.08545,23117.39672,67.076105
49,24077.78916,26020.85572,75.521025
50,23775.43265,24590.09752,115.105449
51,22189.34758,23609.8284,69.718605
52,21337.95,25728.75197,49.998152
53,23877.98083,28175.58412,62.009023
54,22884.71391,25559.89289,106.041355
55,26358.41856,29288.96016,106.911635
56,25319.62739,27915.99253,108.428967
57,19128.28415,19782.38496,97.653291
58,7634.085319,5357.234857,87.637366
59,3851.208982,2912.557395,35.721075
60,4468.721881,2924.054644,33.398942
61,6616.364231,4839.586199,59.17426
62,6914.475015,7451.979817,112.523407
63,3058.429529,1921.620419,32.665022
64,4852.653833,2836.821626,28.287214
65,2869.753232,1575.472302,29.74529
66,3342.468347,2195.669938,33.184174
67,3491.148801,3286.682989,45.47485
68,5335.02154,6398.287195,61.283166
69,4470.446377,4638.971404,51.511025
70,16332.94272,16940.37199,49.964246
71,18476.45891,19174.17452,107.595518
72,14606.53228,12626.78721,118.347728
73,11036.48315,10626.64381,125.458034
74,8072.015757,6495.474355,86.869986
75,5708.448833,3718.365523,59.805502
76,4431.945394,3133.695134,47.10361
77,6487.432708,5048.188631,74.636958
78,8622.40678,7062.218616,91.052839
79,5196.809945,4446.228474,551.427255
80,5362.399836,4847.495948,69.661546
81,3234.194154,2000.466305,21.871559
82,2136.481829,2648.468654,27.353372
83,4922.99592,3753.358419,64.585038
84,5732.170725,5175.603091,105.759803
85,5074.392447,4448.125713,36.574976
86,5239.539655,3116.036435,30.398044
87,2382.962636,1559.232308,19.423505
88,1916.802341,1555.551593,13.973843
89,3477.851253,3799.097743,33.309732
90,6168.554268,5569.562645,50.139163
91,4768.175717,7352.063991,69.876371
92,3486.189638,3755.798848,24.35818
93,3425.695816,2488.864753,25.888366
94,3580.643464,2911.18408,13.766276
95,2611.558616,1637.389566,9.900901
96,6332.46067,7323.39617,85.757488
97,4380.631309,5071.614403,44.371794
98,5129.571981,4333.868334,35.03027
99,3531.179066,3048.866456,36.067899
100,2401.865108,2576.005533,27.00172
101,4491.742461,3657.943708,51.108485
102,3449.007287,2077.489896,23.009071
103,3049.322368,2507.982236,43.679721
104,3568.859198,2492.264181,60.094656
105,3341.875467,2332.015335,39.276565
106,4097.21744,2673.348448,38.796495
107,4034.247612,3630.618127,36.273238
108,3789.369273,4764.767514,49.74848
109,1785.23961,1564.211988,22.69391
110,4762.110264,3131.853329,29.597178
111,4845.715149,4453.859319,56.660831
112,3927.133134,3223.016545,120.445494
113,3012.615027,1841.243807,53.26272
114,5243.177566,2433.502546,27.381832
115,5820.810475,3941.530879,23.04578
116,2769.015862,1740.554602,11.79715
117,2919.380866,2656.006326,20.609894
118,1720.923102,1000.325068,8.936396
119,2983.662358,2119.037435,24.020804
120,6596.035215,4386.034245,41.478276
121,5541.286032,4877.743792,40.884436
122,6226.225046,4755.634201,52.879117
123,7127.321018,3175.934569,38.375419
124,3959.972156,2416.970845,27.684024
125,1860.507796,2385.086184,17.77772
126,2236.012665,1301.279504,11.972194
127,3059.083653,2316.693931,16.442733
128,3568.789248,2311.837885,20.980015
129,4341.055462,2784.374836,15.494589
130,4497.890681,3746.607286,44.733671
131,3067.070959,1701.511212,14.858708
132,1798.385587,1885.791056,25.567517
133,1909.172822,1462.550625,17.343797
134,5645.648089,3681.944375,31.206445
135,2168.167927,1601.422828,24.484722
136,2041.65888,1221.674873,15.699616
137,3796.737015,2067.063527,10.809107
138,3107.87284,1827.326072,10.954993
139,2773.849146,2067.390787,9.247569
140,2304.072071,2736.093522,17.145977
